Programmer1,Programmer2,Cosine_Similarity_Bigrams,Cosine_Similarity_Unigrams,Euclidean_Distance_Bigrams,Euclidean_Distance_Unigrams,Jaccard_Similarity_Bigrams,Jaccard_Similarity_Unigrams,Pearson_Correlation_Bigrams,Pearson_Correlation_Unigrams
Alice,Bob,0.3210806495339678,0.7666997354886368,15.937377450509228,16.61324772583615,0.1753246753246753,0.4333333333333333,0.1236264820537982,0.7080143685891386
Alice,Charlie,0.3246344787647599,0.7590987846124286,21.95449840010015,31.96873472629156,0.0826771653543307,0.2424242424242424,0.023008584036859,0.6847615067254712
Bob,Charlie,0.2869117295245054,0.7537237371348326,22.62741699796952,31.74901573277509,0.0836653386454183,0.231578947368421,-0.0082878314874567,0.6864434464281886
